CANTOR;CÓD.;TÍTULO;INÍCIO DA LETRA;P;;
Jorge e Mateus;9892;TEM NADA A VER;Alguém me disse que você falou;14C;;
Jorge e Mateus;9863;PODE CHORAR;Quase que acabo com a minha vida;14D;;
Jorge e Mateus;9654;DE TANTO TE QUERER;Larga tudo e vem correndo;14E;;
Jorge e Mateus;1154;TRAZ ELA DE VOLTA PRA MIM;Meu bem o que aconteceu;15C;;
Jorge e Mateus;1160;VOU FAZER PIRRAÇA;Vou pagar promessa de joelhos;15C;;
Jorge e Mateus;1330;VOA BEIJA FLOR;Você não sabe o que é amor;17A;;
Jorge e Mateus;1373;AMOR COVARDE;Quando a gente fica junto tem briga;17B;;
Jorge e Mateus;1512;AMO NOITE E DIA;Tem um pedaço do meu peito;18A;;
Jorge e Mateus;1597;MEU BEM QUERER;Posso até fazer de tudo pra você vol;18C;;
Jorge e Mateus;1633;TE CUIDA CORAÇÃO;Já cansei de avisar pro meu coração;18D;;
Jorge e Mateus;1645;AÍ JÁ ERA;Para pra pensar porque eu já me toquei;19A;;
Jorge e Mateus;1651;CHOVE, CHOVE;Chove quando você some;19A;;
Jorge e Mateus;1715;SE EU PEDIR CÊ VOLTA;Eu nem lembrava mais o gosto do seu ;19B;;
Jorge e Mateus;1736;MIL ANOS;Você fala demais ;19C;;
Jorge e Mateus;1758;TEMPO AO TEMPO;Você já percebeu ;19C;;
Jorge e Mateus;2693;MORENA PROIBIDA;Por causa de um par de olhos negros;21B;;
Jorge e Mateus;2698;SAUDADE;Meus olhos estão mergulhados num pranto;21B;;
Jorge e Mateus;2705;ESPELHO;Baby as palavras estão mudas;21C;;
Jorge e Mateus;2935;TE AMO TANTO;Ah não dá mais pra ficar assim;22D;;
Jorge e Mateus;15010;DUAS METADES;Pra falar do amor de verdade vou começar;23A;;
Jorge e Mateus;15016;O QUE É QUE TEM?;E pra deixar acontecer a pena tem que valer;23A;;
Jorge e Mateus;15035;FLOR;Flor ô u ô ô... Flor pra onde for você for;23A;;
Jorge e Mateus;15162;A HORA É AGORA;Ôôô ôôô... Aumente o som  pra ficar bom;24A;;
Jorge e Mateus;15301;LOGO EU;Eu te vi e já te quis me vi tão feliz ;24D;;
Jorge e Mateus;15383;MASTIGANDO ÁGUA;Você por tantas vezes fala mal de mim e;25B;;
Jorge e Mateus;15531;ENQUANTO HOUVER RAZÕES;Eu já fiz de tudo pra te convencer;26B;;
Jorge e Mateus;15594;SEU ASTRAL;Vivo sozinho pensando em você ;26C;;
Jorge e Mateus;15728;CALMA;Não chore mais sorria amor eu trouxe o fim;27C;;
Jorge e Mateus;15750;EU QUERO SÓ VOCÊ;Ôh ôh ôhhh...O que todos querem é só separar;27C;;
Jorge e Mateus;15832;OS ANJOS CANTAM;No primeiro instante vi que era amor no momento em;28A;;
Jorge e Mateus;15947;NOCAUTE;Olha aí o mundo girando e a gente se esbarrando;28D;;
Jorge e Mateus;15965;SOSSEGUEI;Tô virado já tem uns três dias;29A;;
Jorge e Mateus;16020;PRA NUNCA DIZER ADEUS;Para mim o teu sorriso é como as estrelas;29B;;
Jorge e Mateus;16100;LOUCA DE SAUDADE;Se uma canção me lembrar troque o CD;29D;;
Jorge e Mateus;16143;PAREDES;Despertador tocou cadê o meu amor;30A;;
Jorge e Mateus;16146;PRA SEMPRE COM VOCÊ;A gente se conheceu há pouco tempo;30A;;
Jorge e Mateus;16252;MEDIDA CERTA;Oi tô te ligando pra você passar aqui em casa;30D;;
Jorge e Mateus;16305;CONTRATO;Eu vou fazer um contrato;31A;;
Jorge e Mateus;16310;A GENTE NEM FICOU;E a gente nem ficou;31A;;
Jorge e Mateus ;1260;MISTÉRIOS ;Não há disfarce nesse seu olhar;16C;;
Jorge e Mateus ;1761;200 POR HORA;Não dá pra esquecer teus olhos ;19D;;
Jorge e Mateus - Maestro Pinocchio;16195;PERGUNTA BOBA;Vou começar com uma pergunta boba;30B;;
Jorge e Mateus-Cristiano;1817;EFEITOS;Seus efeitos ainda dominam em mim;20A;;
Jorge Guilherme;1779;VESTÍGIOS;Tava escuro e eu procurando por você ;19D;;
Jorge Vercilo;7600;EU E A VIDA;Vem me pedir além do que eu posso dar;11A;;
Jorge Vercilo;7680;PRAIA NUA;Ah meu sol meu bem minha vida escurece;11A;;
Jorge Vercilo;7637;MELHOR LUGAR;Se fosse por mim eu ficava;11C;;
Jorge Vercilo;7616;HIMALAIA;O mundo inteiro está guardado em mim;11E;;
Jorge Vercilo;7626;LIVRE;Um no Leme outro no Leblon;11E;;
Jorge Vercilo;7672;PENSO EM TI;Eu queria não sentir essa saudade;11E;;
Jorge Vercilo;7720;UM SEGREDO E UM AMOR;Um segredo e um amor o que será maio;11E;;
Jorge Vercilo;9356;VELA DE ACENDER VELA DE NAVEGAR;Vê-la me faz crescer;12C;;
Jorge Vercilo;9447;ELA UNE TODAS AS COISAS;Ela une todas as coisas como eu pode;13C;;
Jorge Vercilo;1163;DEVANEIO;Mergulhei no mar e não dava pé;16A;;
Jorge Vercilo;1236;TODA ESPERA;É a paciência foi pela vida inteira;16B;;
Jorge Vercilo;1292;INVISÍVEL;Quando passou aqui você me abalou;16D;;
Jorge Vercilo;1563;DEVE SER;Deve ser;18C;;
Jorge Vercilo;2681;AVESSO;Nós já temos encontro marcado;21B;;
Jorge Vercilo;15139;VENTANIA;Sangro sangro os mares à serviço do Rei estou;23D;;
Jorge Vercilo;15228;FACE DE NARCISO;O que é o amor vai além da minha compreensão;24B;;
Jorge Vercilo;6473;QUE NEM MARÉ;Faz um tempão…;6B;;
Jorge Vercilo;6494;HOMEM-ARANHA;Eu adoro andar no abismo…;6C;;
Jorge Vercilo;6536;FÊNIX;Eu prisioneiro meu…;6D;;
Jorge Vercilo;6662;MONALISA;É incrível nada desvia um destino...;7A;;
Jorge Vercilo;6902;CICLO;Eu não sei o que me domina…;8A;;
Jorge Vercilo;6981;SIGNO DE AR;anda…manda e desmanda num beijo…;8C;;
Jorge Vercilo;6994;ULTRA LEVE AMOR;Passo de novo na rua em que você…;8C;;
Jorge Vercilo;7165;LEVE;O levitar dos colibris graciosamente;9A;;
Jorge Vercilo (Vercillo);15409;FÁCIL DE ENTENDER;Eu não sou mais o mesmo sem você ;25C;;
Jorge Vercilo (Vercillo);15762;ARCO-ÍRIS;Azul rei verde mar eu pedi ao arco-íris;27D;;
Jorge Vercilo (Vercillo);16283;TALISMÃ SEM PAR;Oi só queria te dizer;31A;;
José Augusto;9646;COISAS DO CORAÇÃO;Quantas vezes te falei;14B;;
José Augusto;15426;QUERO ME APAIXONAR;Tchururu... Se eu pudesse baixar uma;25C;;
José Augusto;15457;FAZ DE CONTA (L'ITALIANO);Pra que saber meu nome saber do meu ;25D;;
José Augusto;16084;A MINHA HISTÓRIA (LA MIA STORIA TRA LE DITA);Sabe por que foi tão inútil ter ficado com;29D;;
José Augusto;4023;AGÜENTA CORAÇÃO;Coração, diz pra mim;3C;;
José Augusto;4172;SÁBADO;Todo sábado é assim eu me lembro;3F;;
José Augusto;4223;ALMA E CORAÇÃO;Quem é você que conquistou meu coração;3H;;
José Feliciano;4598;ONCE THERE WAS A LOVE;Once there was a love;USAC;;
José Roberto;7306;BENZINHO;Benzinho... por que deixou-me assim;10E;;
Josh Groban;19164;BRAVE;Wake up wake up the sun can not wait for;INT06A;;
Joss Stone;19752;SUPER DUPER LOVE (ARE YOU DIGGIN' ON ME);Yeah;INT09C;;
Jota Canalha;1208;CHATOS EM DESFILE;Se o cara chateia ;16B;;
Jota Quest;7402;PALAVRAS DE UM FUTURO BOM;Anda... enquanto o dia acorda;10A;;
Jota Quest;7983;JÁ FOI;Eu sempre quis fazer você feliz;12C;;
Jota Quest;1213;DE VOLTA AO PLANETA DOS MACACOS;Lá fora;16B;;
Jota Quest;1234;SEIS E TRINTA;Pareço contigo normal e do avesso;16B;;
Jota Quest;1439;ÚNICO OLHAR;Então me coloco à sua frente;17C;;
Jota Quest;2915;MAIS PERTO DE MIM;Quem sabe um dia ainda consiga;22D;;
Jota Quest;15381;MANDOU BEM;Uh uh... Você mandou bem cuidou de ;25B;;
Jota Quest;15513;TUDO ESTÁ PARADO;Ô ô ô ô... Tudo está parado diz aê ;26A;;
Jota Quest;15640;WAITING FOR YOU (SHINE ON, SHINE ON);Shine on shine on luz do sol um novo dia;26D;;
Jota Quest;15655;DENTRO DE UM ABRAÇO;O melhor lugar do mundo é dentro de um;27A;;
Jota Quest;16202;ENCONTRAR ALGUÉM;Encontrar alguém encontrar alguém;30C;;
Jota Quest;16262;DAQUI SÓ SE LEVA O AMOR;Viver tudo que a vida tem pra te dar;30D;;
Jota Quest;4112;FÁCIL;Tudo é tão bom, e azul e calmo ;3E;;
Jota Quest;4213;SEMPRE ASSIM;Sete e quinze eu acordo e começo;3G;;
Jota Quest;4287;O VENTO;Voe por todo mar e volte aqui...;4A;;
Jota Quest;4489;OXIGÊNIO;Mesmo com a fumaça dá pra ver...;4F;;
Jota Quest;6032;TELE-FOME;Não alimento amor por telefone...;4G;;
Jota Quest;6107;O QUE EU TAMBÉM NÃO ENTENDO;Essa não é mais uma carta de amor...;5A;;
Jota Quest;6172;DIAS MELHORES;Vivemos esperando dias melhores…;5C;;
Jota Quest;6423;NA MORAL;Na moral na moral só na moral….;6A;;
Jota Quest;6509;SÓ HOJE;Hoje eu preciso te encontrar….;6C;;
Jota Quest;6603;AMOR MAIOR;Eu quero ficar só…;6F;;
Jota Quest;6691;DO SEU LADO;La la... Faz muito tempo mas eu...;7B;;
Jota Quest;7051;ALÉM DO HORIZONTE;Além do horizonte existe um lugar;9B;;
Jota Quest;7200;O SOL;Ei dor... eu não te escuto mais;9E;;
Jota Quest;16316;PRA QUANDO VOCÊ SE LEMBRAR DE MIM;Quando você se lembrar de mim;31A;;
Jota Quest ;1029;VEM ANDAR COMIGO;Basta olhar no fundo dos meus olhos;15A;;
Jota Quest ;1081;LA PLATA ;Grana suja grana justa;15B;;
Jota Quest - Anitta - Nile Rodgers;15964;BLECAUTE;Você chegou quase me matou;29A;;
Jota Quest - Projota;16077;UM DIA PRA NÃO SE ESQUECER (SUNRISE);Hey irmão hoje era pra ser;29C;;
Journey;19171;DON'T STOP BELIEVIN';Just a small town girl Livin' in a lonely world;INT06A;;
Jovem Guarda;3237;RITMO DA CHUVA;Olho para a chuva que não quer cessar;M;;
Joyce;7969;FORA DE HORA;Fora de hora;12D;;
Joyce;1448;CLAREANA;Um coração de mel;17D;;
Juan Luis Guerra;3239;ROMANCE ROSA;Eu te dei uma rosa que encontrei;1B;;
Juca Novaes e Lenine;2918;MEIO ALMODÓVAR;Oh oh oh oh... Foi só um ensaio;22D;;
Judy Garland;9152;OVER THE RAINBOW;Somewhere over the rainbow…;INT02, 8E;;
JUÍZO FINAL;5602;ATLETAS DE CRISTO;Atletas... Com um compromisso...;EVA;;
Juliana Baroni;9430;DANCE, DANCE, DANCE;Tantos desafios tanto a percorrer;13A;;
Juliana Baroni;9524;QUERO TE ENCONTRAR;É triste saber;13D;;
Juliana Baroni;9418;CIDADE TRISTE;A dor;13E;;
Juliana Baroni e Lorenzo Martins;9492;NÃO HÁ HORA NEM LUGAR;De que adianta reclamar;13E;;
Juliana Diniz;9314;PARA FICAR;Menino o seu amor foi-se embora;12D;;
Julie Andrews;4513;EDELWEISS;Edelweiss edelweiss;USAD;;
Julie Andrews;4512;DO RE MI;Doe a deer a female deer;USAG;;
Julieta Venegas e Marisa Monte;9687;ILUSION;Uma vez eu tive uma ilusão;14C;;
Julio Iglesias;7941;DEVANEIOS;Ou me queres ou me deixas;12C;;
Julio Iglesias;9883;SÓ VOCÊ VAI ME FAZER FELIZ;Hoje eu sei e não vou mentir;14D;;
Julio Iglesias;16070;O MELHOR DE TUA VIDA (LO MEJOR DE TU VIDA);Te queria toda minha minha minha;29C;;
Julio Iglesias;16124;CORAÇÃO APAIXONADO;Coração apaixonado só escuta a própria;30A;;
Julio Iglesias;4667;CRAZY;Crazy, I'm crazy for feeling so lonely;USAH;;
Julio Iglesias E Daniel;6038;VIVER A VIDA;Deixa que eu te fale um pouco...;4G;;
Jussara Silveira;1192;ALÉM DO PARAÍSO;Perversa serpente do mal mentirosa;16A;;
Justin Bieber;2522;BABY;Oh uh oh ah aaah;INT04A;;
Justin Bieber;19001;BOYFRIEND;If I was your boyfriend I'd never let you go;INT05A;;
Justin Bieber;19064;ONE TIME;Me plus you I'ma tell you one time;INT05B;;
Justin Bieber;19365;WHAT DO YOU MEAN;What do you mean ohhh when you nod ;INT07B;;
Justin Bieber;19409;SORRY;Oh oh oh... You gotta go and get angry;INT07C;;
Justin Bieber;19443;LOVE YOURSELF;For all the times that you rain on my parade;INT7D;;
Justin Timberlake;2510;ROCK YOUR BODY;Don't be so quick to walk away;INT04A;;
Justin Timberlake;2629;SEXY BACK;I'm bringin' sexy back them other boys;INT04D;;
Justin Timberlake;2635;WHAT GOES AROUND COMES AROUND;Hey girl is he everything you wanted;INT04D;;
Justin Timberlake;19439;MIRRORS;Aren't you something to admire;INT07C;;
Juventude Sa;4354;HISTÓRIA DE AMOR;E foi assim que tudo aconteceu...;4C;;
Jyukai;18501;KOMORIUTA;Kimi ga itsuno mani ka kiecha wanai;JP7D;;
K (KEI);2381;ONLY HUMAN;Kanashimi no mukoh kishi ni;JP5E;;
K.D.Lang;9098;CONSTANT CRAVING;Even through the darkest phase…;INT02, 8E;;
K.Kaori-G.Natsuko-S.Fuyumi-N.Yoko-F.Ayako;18339;KOKORO NO ITO;Soshite hi ga nobori asa no maku ga;JP6D;;
Kabayashi Satiko;5301;USHIRO KAGUE;annani nikui hito nanoni...;JP1;;
Kabayashi Satiko & Kitaooji Kinya;5305;WAKARETE... SOSHITE;(M) Tassogare no matide ai ni...;JP1;;
Kadokawa Hiroshi;5079;OMAMORI;Watashi warui onnadeshita;JP1;;
Kadokawa Hiroshi;5231;AKIRAMETE ONNA;Aishi suguitara sassae kirenaku natte;JP1;;
Kadokawa Hiroshi;5238;HITORI SAPPORO;mati no akari ga nidinde yureru;JP1;;
Kadokawa Hiroshi;5291;NAMIDA GURASHI;Nakimushi ne watashi wa ninen no...;JP1;;
Kadokawa Hiroshi;5302;USSO DEMO IINO;Usso demo iino anata no udeni...;JP1;;
Kadokawa Hiroshi;5309;YURUSHITE KUDASSAI;Yurushite kudassai watashi no...;JP1;;
Kadokawa Hiroshi;5455;RYUHYO MISSAKI;Ryuhyo missaki miokiruyona…;JP2;;
Kadokawa Hiroshi;2149;MAYOI YUKI;Osake wa namida no sasoi mizu;JP4D;;
Kadokawa Hiroshi;18368;HARU NO YUKI;Hito fuyu koereba mieteta haru o kosezu;JP7A;;
Kadokawa Hiroshi;18523;JOUYATOH;Miren namida o teoke de nagasu;JP8A;;
Kadokura Yuki;5435;NORA;Yamete hetana usso daite imawa…;JP2;;
Kadokura Yuki;5706;HIMAWARI;Anta nanka dokodemo ikina...;JP3;;
Kadokura Yuki;2034;KITA NO EKI;Kono eki ni hitori tateba;JP4A;;
Kadokura Yuki;2270;J;"""J"" doko e yuku no ""J"" kono kanashimi wa";JP5B;;
Kadokura Yuki;2382;ONNA NO BOHKYOHKA;Yume wa karai shi osake wa nigai;JP5E;;
Kadokura Yuki;18208;GOODBYE;Goodbye saigo ni naite gomen ne;JP6A;;
Kadoshi;5507;AGRADECIMENTO;Deus venho agradecer;EVAN101;;
Kadoshi;5508;ALEGRIA;Alegria está em nós;EVAN101;;
Kadoshi;5515;COMPROMISSO;Não existe nada melhor;EVAN101;;
Kadoshi;5527;ENCONTRO;Procurei a paz e o amor a ternura;EVAN101;;
Kadoshi;5530;EU NÃO PENSAVA;Eu não pensava que viria a saber;EVAN101;;
Kadoshi;5533;FILHO PRÓDIGO;Um filho perdido voltou arrependido;EVAN101;;
Kadoshi;5538;HÁ MOMENTOS;Há momentos que na vida pensamos em o;EVAN101;;
Kadoshi;5558;O SENHOR É A MINHA LUZ;O Senhor é a minha luz a minha salva;EVAN101;;
Kadoshi;5571;QUEM VIVE COM CRISTO;Quem vive com Cristo é feliz;EVAN101;;
Kadoshi;5573;QUERO SIM;Ah, eu quero sim o teu amor, Senhor;EVAN101;;
Kadoshi;5575;RAZÃO;Oh! Só Jesus;EVAN101;;
Kadoshi;5576;REFRIGÉRIO;Tua voz me traz consolo e refrigério;EVAN101;;
Kadoshi;5589;TENHA FÉ;Tenha fé irmão tenha fé irmão;EVAN101;;
Kadoshi;5600;VIVER O AMOR;Aqui está o Pai aqui está o Filho;EVAN101;;
Kagami Goroh;2125;AWAYUKI NO HASHI;Koyori de tsukutta yubiwa dakeredo;JP4D;;
Kagami Goroh;2129;ECHIZEN SHIGURE;Isaribi yureru wakasa no yado de;JP4D;;
Kagami Goroh;2154;NANIWA NINJOH;Shima no kappa ni furi wake nimotsu;JP4D;;
Kagami Goroh;2157;OSHIDORI JINSEI;Nanbo johzu ni mohkete mitemo;JP4D;;
Kagami Goroh;2171;IZU NO WATARI DORI;Konna doaho ni horeta mo aho yo;JP4E;;
Kagami Goroh;2275;KATAKOI SHIGURE;Kujikecha dame da to yasashiku daita;JP5B;;
Kagami Goroh;18384;OMAE O HANASANAI;Asu ni hagureta otoko no namida naite;JP7A;;
Kagami Goroh;18508;RYUU NI NARE;Sora e nobizu ni jimen o hahte ;JP7D;;
Kagami Goroh;18548;OTOKO GOKORO;Omae no egao o mite iru dake de;JP8A;;
Kagami Goroh;18600;YUME KABUKI;Koi no kakehiki tachi mawari;JP8B;;
Kageyama Hironobu;18448;DENGEKI SENTAI CHANGEMAN;Heart ni hi ga tsuku ze moe agaru ze;JP7C;;
Kageyama Hironobu;18469;NEVER STOP CHANGEMAN;Tachi domaranai ze furimukanai ze;JP7C;;
Kahala Tomomi;5748;LOVE BRACE;Yoru juu sotto anata no negao...;JP3;;
Kaho Shimada ;5245;KIMI NI DEKIRU KOTO (LADY IN RED);Te no hira o kazashi tooku o mitemo;JP1;;
Kaho Shimada ;5266;WAITING FOR YOU;Wherever you go whatever you;JP1;;
Kaho Shimada ;5269;YUME WA TOMARANAI;Ame agari no biru no mati ni;JP1;;
Kaientai;18268;OKURU KOTOBA;Kure nazumu machi no hikari to kage;JP6B;;
Kaleidoscópio;2804;FELIZ DE NOVO;Para para para para... eu sei que você;22A;;
Kaleidoscópio;2900;VOCÊ ME APARECEU;Você me apareceu... Fez o tudo virar nada;22C;;
Kaleidoscópio;2936;TEM QUE VALER;Tem que valer valer viver;22D;;
Kaluana e Adriana Ribeiro;1137;TUA INDIFERENÇA;Por que você não liga mais;15C;;
Kamon Ryo;5816;TABIBITO;Nagorino yukino kienokoru...;JP3;;
Kamon Ryo;2054;MUJOH NO BLUES;Kuchibue mo kooru minato hakodate;JP4B;;
Kamon Ryo;2159;REIKO;Anata dake anata dake;JP4D;;
Kan;5102;AIWA KATSU;Shimpai nai kara ne kimi no omoi ga;JP1;;
Kanazawa Akiko;2314;YUKI YOSARE;Fuyu no Shimokita manjuh gasa ni;JP5C;;
Kaneda Tatsue;2329;HANA MACHI NO HAHA;Hito ni kikarerya omae no koto o;JP5D;;
Kanmuri Jiro;5077;NEBUTA OTOKO HADA;Ijio butsukete konjo o moyassu;JP1;;
Kanmuri Jiro;5212;NINDYO SAKABA;Miren hikizuru sonnayo wa;JP1;;
Kanmuri Jiro;5339;BOOROH NO HATE;Sorani uzumaku sabaku no arashi…;JP2;;
Kanmuri Jiro;5429;MUSSASHI;Ken ni hitossujii inoti o kakete…;JP2;;
Kanmuri Jiro;5752;MANTEN NO HOSHI;Tooku tsuranaru shiroi mine...;JP3;;
Kanmuri Jiro;2161;ANIKI;Anna otoko wa moh inai;JP4E;;
Kanmuri Jiro;2292;ORE NO FURUSATO;Ah furusato e ah kaero ka na;JP5C;;
Kanmuri Jiro;18336;JINSEI YUME DAIKO;Yagura daiko ni morohada nuide;JP6D;;
Kanmuri Jiro;18475;SAKABA;Doko ni mo aru yoh na sakaba no;JP7C;;
Kanmuri Jiro;18566;BRAVO SUIKODEN;Suki na osake nara nomazu nya;JP8B;;
Kansas;4575;DUST IN THE WIND;I close my eyes;USAB;;
Kaoma;3836;DANÇANDO LAMBADA;Morena, cintura de mola;2F;;
Karametade;3748;DECISÃO;Há tanto tempo queria te falar;2D;;
Karametade;3814;SE MELHOR ESTRAGA;Estava mal, de baixo astral;2E;;
Karametade;3882;LOUCA SEDUÇÃO;Com você eu fiz amor eu fiz paixão;2G;;
Karametade;4038;GRITO DE PAIXÃO;Ilusão é uma flor no meio de ;3C;;
Karametade;4285;NUNCA VOU DEIXAR VOCÊ;Não mudou nada em mim...;4A;;
Karametade;4308;DANDÁ;Teu sorriso despertou em mim...;4B;;
Karametade;4466;COMO É QUE EU VOU FAZER;E quando a gente se encontrar...;4F;;
Karametade;6184;NÃO SEI SE TE ACEITO;Quando eu soube que você tinha ficado…;5C;;
Karina Battis;6229;O DONO DOS MEUS SONHOS;Tem tantas coisas que eu não entendo...;5D;;
Karlos E Alessandro;4392;DEIXA;Dentro desse teu sorriso eu vejo...;4D;;
Karnak;2789;COMENDO UVA NA CHUVA;Comendo uva na chuva;22A;;
Karnak;2913;JUVENAR;Tá frio aqui tá muito poluído;22D;;
Kasuga Hachiro;5491;WAKARE NO IPPON SUGUI;Naketa naketa korae…;JP2;;
Kate Bush;19157;WUTHERING HEIGHTS;Out on the winding windy moors;INT05D;;
Kate Tunstall ;9273;SUDDENLY I SEE ; Her face is a map of the world ;INT02, A45;;
Kátia;7987;LEMBRANÇAS;Já faz tanto tempo que eu deixei;12E;;
Kátia;1333;DIREITOS;Você me aceitou;17A;;
Kátia;1839;QUALQUER JEITO;Todo dia ao amanhecer;20A;;
Kátia;15216;CEDO PRA MIM;Eu já tive um amor que marcou a minha vida;24B;;
Katinguelê;3347;UM DOCE SABOR;Como definir seu beijo ;1B;;
Katinguelê;3542;SÓ PEDINDO BIS;Não vejo a hora e o momento de te ;1K;;
Katinguelê;3669;LUANA;Eu vendo você na tristeza;2B;;
Katinguelê;3740;APELO DE QUEM AMA;Quando eu me encontrar;2D;;
Katinguelê;3747;CILADA;Eh, mulher me comovi com sua história;2D;;
Katinguelê;3791;ENGRAÇADINHA;Linda de viver;2E;;
Katinguelê;3904;APAIXONADAMENTE;Quando, te encontrei chorando;2H;;
Katinguelê;4090;PERTINHO;Te sinto tão pertinho quando fico;3D;;
Katinguelê;4236;INARAÍ;Seu corpo é o mar por onde quero;3H;;
Katinguelê;4322;MINHA DEUSA;Acordo pensando em você e o dia inteiro é assim...;4B;;
Katinguelê;3318;CORPO LÚCIDO;Como é difícil, entender por que;M;;
Katinguelê;3376;NO COMPASSO DO CRIADOR;Ao teu lado sou criança nosso amor é ;M;;
Katinguelê;3487;RECADO A MINHA AMADA;Lua vai iluminar os pensamentos dela;M;;
Kato Tokiko;18436;SHIRETOKO RYOJO;Shiretoko no misaki ni hamanasu no;JP7B;;
Kato Tokiko;18575;HYAKUMAN BON NO BARA;Chihsa na ie to canvas ;JP8B;;
Katoh Miliyah;2006;I WILL;Kizuita koto ya yurusenai kotoba o;JP4A;;
Katoh Miliyah;18213;LAST LOVE;Issho ni sugoshite kita ima wa;JP6A;;
KATSBARNEA;5609;EXTRA;Johny venha...;EVA;;
Katsuki Nana;2268;INOCHI BUNE;Yuki no tsubute ga tsukisasu yoh na;JP5B;;
Katy Perry;2607;HOT N COLD;You change your mind;INT04C;;
Katy Perry;2610;I KISSED A GIRL;This was never the way I planned;INT04C;;
Katy Perry;2637;WAKING UP IN VEGAS;In the town where I was born there lived;INT04D;;
Katy Perry;19003;FIREWORK;Do you ever feel like a plastic bag;INT05A;;
Katy Perry;19013;PART OF ME;Days like this I want to drive away;INT05A;;
Katy Perry;19022;THE ONE THAT GOT AWAY;Summer after high school when we first met;INT05A;;
Katy Perry;19044;CALIFORNIA GURLS;I know a place where the grass is really;INT05B;;
Katy Perry;19059;LAST FRIDAY NIGHT (T.G.I.F.);There's a stranger in my bed;INT05B;;
Katy Perry;19072;TEENAGE DREAM;You think I'm pretty without any make;INT05B;;
Katy Perry;19189;ROAR;I used to bite my tongue and hold my breath;INT06A;;
Katy Perry;19724;CHAINED TO THE RHYTHM;Are we crazy;INT09C;;
Katy Perry;19444;UNCONDITIONALLY;Oh no did I get too close oh did I almost see;INT7D;;
Katy Perry - Juicy J.;19168;DARK HORSE;I knew you were you were gonna come to me;INT06A;;
Kawai Naoko;18294;HALF MOON SERENADE;Nee kono yo ni umarete saisho no asa;JP6C;;
kawamura Kaori;5239;I'LL BE THERE;Donna koto demo ii;JP1;;
Kawamura Kaori;18557;TSUBASA O KUDASAI;Ima watashi no negaigoto ga;JP8A;;
Kawanaka Miyuki;5051;FUTARI ZAKE;Ikite yukunoga tsurai hiwa;JP1;;
Kawanaka Miyuki;5104;ANATA HITOSUZI;Anata no sabade kuraseru naraba;JP1;;
Kawanaka Miyuki;5351;EKIMAE SAKABA;Muri o shite yuku kotomo nainoni…;JP2;;
Kawanaka Miyuki;5489;TYOTIN NO HANA;Tyotin hitotsu issu…;JP2;;
Kawanaka Miyuki;5495;YARAZU NO AME;Guenkide kurasseyo nante…;JP2;;
Kawanaka Miyuki;5499;YOWASSETE;Anata no sobani irudake…;JP2;;
Kawanaka Miyuki;5649;YUYAKE NO UTA;Furui dotono shirakabe…;JP2;;
Kawanaka Miyuki;5728;KIBUNE NO YADO;Hajimekara...;JP3;;
Kawanaka Miyuki;5730;KIMIKAGESOU;Shiroi kossuzuo furuyouni...;JP3;;
Kawanaka Miyuki;2075;OSHORO KAIGAN WAKARE YUKI;Nani mo iranai anata ga hoshii;JP4B;;
Kawanaka Miyuki;2089;NIRINSOH;Hanare banare wa samishii keredo;JP4C;;
Kawanaka Miyuki;2132;FUTARI NO HARU;Horete anata ni yorisotte;JP4D;;
Kawanaka Miyuki;2133;FUTARI NO KIZUNA;Anata omae;JP4D;;
Kawanaka Miyuki;2139;HARU FUTARI;Namari iro shita fuyu no umi;JP4D;;
Kawanaka Miyuki;2195;USU - YUKI SOH;Onaji hohaba de kore kara mo;JP4E;;
Kawanaka Miyuki;2278;KITAYAMA SHIGURE;Nanimo kamo sutete kure to wa;JP5B;;
Kawanaka Miyuki;2351;NANIWA AKARI;Dare o matsu yara aka chohchin ga;JP5D;;
Kawanaka Miyuki;2377;NANIWA NO ONNA;Hyonna koto kara komise o motta;JP5E;;
Kawanaka Miyuki;2391;TAIGA NO NAGARE;Taiga no nagare mo minamoto tadorya;JP5E;;
Kawanaka Miyuki;2397;UTA HITOSUJI;Fuyu no samusa o hideri no natsu o;JP5E;;
Kawanaka Miyuki;18244;BUNGO SUIDOH;Senobi shita koi yabure nagusameru;JP6B;;
Kawanaka Miyuki;18375;KIMI KAGE SOH ~ SUZURAN;Shiroi kosuzu o furu yoh ni kimi kage soh;JP7A;;
Kawanaka Miyuki;18467;NAGASAKI NO AME;Sagiri ni kasunda gaikoku sen no kiteki;JP7C;;
Kawanaka Miyuki;18514;TORO NAGASHI;Nami ni kirameku okuribi ga yurete;JP7D;;
Kawano Natsumi;18389;SHIAWASE NAMIDA;Mata itsu no hi ka aeru ki ga shiteta;JP7A;;
Kawashima Eigo;5028;SAKE TO NAMIDATO OTOKO TO ONNA;Wasurete shimaitai koto ya;JP1;;
Kayama Yuzo;5010;KIMI TO ITSUMADEMO;Futari yuuyami ga;JP1;;
kayama Yuzo;5263;TABI BITOYO;Kaze ni furueru, midore no sooguen;JP1;;
kayama Yuzo;5267;YUHI WA AKAKU;Yuhi akaku, tihei no hate;JP1;;
Kayama Yuzo;5277;BOKU NO IMOOTO NI;Boku no imooto nara ai hito sudini...;JP1;;
Kayama Yuzo;5642;YOZORA NO HOSHI;Boku no yuku tokoroe…;JP2;;
